x,y,z
0.0,0.0,-45.08048701474752
0.01,0.0,-35.319054730999824
0.02,0.0,-31.746832447252245
0.03,0.0,-27.359912163504532
0.04,0.0,-20.525969879756758
0.05,0.0,-21.43079859600914
0.06,0.0,-11.333428312261503
0.07,0.0,-12.906225028513859
0.08,0.0,-6.503435744766193
0.09,0.0,-4.148254461018496
0.1,0.0,-2.910504177270809
0.11,0.0,8.007666106476904
0.12,0.0,11.090875390224596
0.13,0.0,13.902356673972236
0.14,0.0,7.844207957719959
0.15,0.0,8.222095241467628
0.16,0.0,12.982550525215288
0.17,0.0,6.884851808962935
0.18,0.0,7.252241092710733
0.19,0.0,8.202881376458322
0.2,0.0,4.95235066020598
0.21,0.0,6.985022943953595
0.22,0.0,4.554560227701359
0.23,0.0,4.452954511449093
0.24,0.0,1.9612127951966158
0.25,0.0,8.836659078944308
0.26,0.0,12.007514362692064
0.27,0.0,7.039942646439727
0.28,0.0,13.784039930187532
0.29,0.0,17.041566213935198
0.3,0.0,14.698261497682893
0.31,0.0,15.078101781430519
0.32,0.0,19.75701406517817
0.33,0.0,13.76087734892576
0.34,0.0,25.175873632673415
0.35,0.0,19.96440591642113
0.36,0.0,20.221443200168892
0.37,0.0,22.674525483916568
0.38,0.0,25.00163076766421
0.39,0.0,25.847780051411974
0.4,0.0,23.037434335159674
0.41,0.0,29.37210861890719
0.42,0.0,26.610102902654944
0.43,0.0,24.974562186402636
0.44,0.0,19.87857247015029
0.45,0.0,16.79649875389805
0.46,0.0,12.84381903764563
0.47,0.0,10.79421532139338
0.48,0.0,11.40257160514102
0.49,0.0,1.8261128888887015
0.5,0.0,-0.1734418273636038
0.51,0.0,-3.5926735436160016
0.52,0.0,1.6792557401316799
0.53,0.0,-16.66087397612057
0.54,0.0,-17.19460869237298
0.55,0.0,-13.666819408625202
0.56,0.0,-20.842399124877602
0.57,0.0,-15.068759841129804
0.58,0.0,-6.351517557382181
0.59,0.0,-8.198240273634497
0.6,0.0,-13.121866989886826
0.61,0.0,-9.11214370613925
0.62,0.0,-9.964969422391505
0.63,0.0,-12.927903138643842
0.64,0.0,-16.91744785489618
0.65,0.0,-21.10401357114847
0.66,0.0,-20.227103287400723
0.67,0.0,-22.27963600365308
0.68,0.0,-14.942520719905474
0.69,0.0,-17.903012436157724
0.7,0.0,-22.058573152409963
0.71,0.0,-15.568624868662368
0.72,0.0,-18.53033758491472
0.73,0.0,-19.039658301167037
0.74,0.0,-18.312406017419335
0.75,0.0,-18.454782733671777
0.76,0.0,-22.592276449924043
0.77,0.0,-18.545444166176367
0.78,0.0,-15.128738882428706
0.79,0.0,-17.50793159868101
0.8,0.0,-17.99552331493328
0.81,0.0,-10.914511031185612
0.82,0.0,-15.622072747437869
0.83,0.0,-19.655807463690167
0.84,0.0,-5.87215817994263
0.85,0.0,-0.809945896194904
0.86,0.0,-0.5385036124472435
0.87,0.0,-1.7948943286996837
0.88,0.0,0.47312995504819355
0.89,0.0,-10.689998761204265
0.9,0.0,5.672995522543488
0.91,0.0,11.027932806291233
0.92,0.0,12.898252090038795
0.93,0.0,23.836930373786572
0.94,0.0,27.3261446575342
0.95,0.0,24.64104394128185
0.96,0.0,26.251108225029498
0.97,0.0,38.661222508777314
0.98,0.0,30.957565792524974
0.0,0.009901,-43.82748068302999
0.01,0.009901,-35.78826238646843
0.02,0.009901,-30.71974708990706
0.03,0.009901,-24.692735793345378
0.04,0.009901,-28.31757949678388
0.05,0.009901,-25.378947200222342
0.06,0.009901,-13.591437903660903
0.07,0.009901,-6.471897607099322
0.08,0.009901,-9.786927310537749
0.09,0.009901,0.193452986023658
0.1,0.009901,-1.445307717414721
0.11,0.009901,5.142006579146823
0.12,0.009901,8.739818875708352
0.13,0.009901,11.942611172269835
0.14,0.009901,9.921526468831303
0.15,0.009901,4.8848177653928815
0.16,0.009901,2.3351680619543913
0.17,0.009901,5.325558358515991
0.18,0.009901,9.373077655077395
0.19,0.009901,8.743350951638945
0.2,0.009901,12.09140724820054
0.21,0.009901,8.841318544762203
0.22,0.009901,6.486737841323588
0.23,0.009901,5.291093137885127
0.24,0.009901,6.8559464344466505
0.25,0.009901,10.50380673100824
0.26,0.009901,6.511287027569779
0.27,0.009901,10.100798324131233
0.28,0.009901,10.310914620692756
0.29,0.009901,12.968541917254356
0.3,0.009901,9.627144213815882
0.31,0.009901,16.922466510377376
0.32,0.009901,21.95875480693894
0.33,0.009901,21.803637103500478
0.34,0.009901,25.702963400062004
0.35,0.009901,28.382562696623495
0.36,0.009901,23.85097999318498
0.37,0.009901,21.91339128974664
0.38,0.009901,25.640842586308167
0.39,0.009901,29.160528882869585
0.4,0.009901,22.57889817943112
0.41,0.009901,28.439649475992724
0.42,0.009901,24.211777772554342
0.43,0.009901,22.67921906911579
0.44,0.009901,20.515312365677232
0.45,0.009901,12.5891986622388
0.46,0.009901,13.619382958800315
0.47,0.009901,8.962557255361958
0.48,0.009901,9.24713655192329
0.49,0.009901,-4.404319151514983
0.5,0.009901,0.3294791450465482
0.51,0.009901,-3.210648558391881
0.52,0.009901,-6.490277261830556
0.53,0.009901,-14.943002965268988
0.54,0.009901,-19.850561668707428
0.55,0.009901,-10.827456372145889
0.56,0.009901,-15.821441075584403
0.57,0.009901,-17.486812779022785
0.58,0.009901,-6.7842644824612535
0.59,0.009901,-9.608083185899773
0.6,0.009901,-8.262712889338218
0.61,0.009901,-10.728133592776771
0.62,0.009901,-11.570506296215171
0.63,0.009901,-11.186072999653675
0.64,0.009901,-13.629521703092223
0.65,0.009901,-13.869599406530597
0.66,0.009901,-19.896055109969097
0.67,0.009901,-14.129297813407447
0.68,0.009901,-20.245108516845903
0.69,0.009901,-15.378010220284523
0.7,0.009901,-17.619308923722883
0.71,0.009901,-30.64136962716134
0.72,0.009901,-16.133157330599943
0.73,0.009901,-17.683783034038356
0.74,0.009901,-17.83938873747684
0.75,0.009901,-18.9678954409153
0.76,0.009901,-12.800503144353684
0.77,0.009901,-19.142632847792243
0.78,0.009901,-13.774800551230669
0.79,0.009901,-10.276598254669125
0.8,0.009901,-15.283522958107596
0.81,0.009901,-19.97330866154607
0.82,0.009901,-23.848396364984637
0.83,0.009901,-7.134374068423085
0.84,0.009901,-12.418153771861398
0.85,0.009901,-9.379667475299925
0.86,0.009901,0.005253821261590019
0.87,0.009901,-1.961386882176953
0.88,0.009901,-0.6531255856153848
0.89,0.009901,7.2535237109460695
0.9,0.009901,3.1211120075076906
0.91,0.009901,11.36028130406919
0.92,0.009901,10.452233600630734
0.93,0.009901,18.802242897192286
0.94,0.009901,23.003326193753765
0.95,0.009901,26.746158490315338
0.96,0.009901,30.894018786876813
0.97,0.009901,31.918589083438405
0.98,0.009901,25.617719379999926
0.0,0.019802,-38.26669326606054
0.01,0.019802,-33.12332876155824
0.02,0.019802,-27.18431125705615
0.03,0.019802,-28.48625975255402
0.04,0.019802,-19.735229248051837
0.05,0.019802,-32.481757743549565
0.06,0.019802,-23.82203623904752
0.07,0.019802,-10.401084734545407
0.08,0.019802,-8.390533230043161
0.09,0.019802,-8.485450725541
0.1,0.019802,-2.027145221038836
0.11,0.019802,3.1064532834632246
0.12,0.019802,8.397278787965547
0.13,0.019802,10.304314292467666
0.14,0.019802,11.739425796969726
0.15,0.019802,6.402321301472057
0.16,0.019802,-0.8666681940259195
0.17,0.019802,12.753014310476374
0.18,0.019802,8.064102814978355
0.19,0.019802,12.703316319480678
0.2,0.019802,8.762451823982701
0.21,0.019802,7.581109328484899
0.22,0.019802,13.738144832987018
0.23,0.019802,5.1315093374893195
0.24,0.019802,6.6144728419914145
0.25,0.019802,4.066674346493528
0.26,0.019802,6.263504850995787
0.27,0.019802,13.262582355497898
0.28,0.019802,8.88250886000003
0.29,0.019802,14.384759364502202
0.3,0.019802,16.097703869004363
0.31,0.019802,15.401223373506582
0.32,0.019802,17.165681878008627
0.33,0.019802,23.93380138251098
0.34,0.019802,21.671647887013023
0.35,0.019802,28.107980391515184
0.36,0.019802,26.273316896017377
0.37,0.019802,30.646661400519633
0.38,0.019802,28.441880905021776
0.39,0.019802,31.65799940952388
0.4,0.019802,29.640718914026024
0.41,0.019802,22.859033418528156
0.42,0.019802,19.87715392303039
0.43,0.019802,19.191904427532563
0.44,0.019802,25.335511932034706
0.45,0.019802,18.199335436536785
0.46,0.019802,11.7523669410391
0.47,0.019802,12.537332445541097
0.48,0.019802,7.000032950043419
0.49,0.019802,-0.34146654545440924
0.5,0.019802,-8.534040040952277
0.51,0.019802,-9.1863305364501
0.52,0.019802,-7.2043430319479285
0.53,0.019802,-18.89984652744579
0.54,0.019802,-15.579969022943715
0.55,0.019802,-18.994465518441416
0.56,0.019802,-8.741971013939292
0.57,0.019802,-10.158665509437128
0.58,0.019802,-8.816327004935033
0.59,0.019802,-8.083363500432824
0.6,0.019802,-17.427547995930695
0.61,0.019802,-5.579106491428547
0.62,0.019802,-10.67451198692629
0.63,0.019802,-9.822407482424182
0.64,0.019802,-16.003505977922032
0.65,0.019802,-22.4089704734198
0.66,0.019802,-15.21384896891766
0.67,0.019802,-20.22111946441555
0.68,0.019802,-16.935909959913374
0.69,0.019802,-22.821598455411163
0.7,0.019802,-19.785411950909065
0.71,0.019802,-12.781696446406954
0.72,0.019802,-12.462795941904801
0.73,0.019802,-28.161228437402542
0.74,0.019802,-11.087199932900376
0.75,0.019802,-12.328601428398201
0.76,0.019802,-17.857356923895964
0.77,0.019802,-12.390018419393868
0.78,0.019802,-14.870433914891692
0.79,0.019802,-12.888690410389586
0.8,0.019802,-16.002162905887417
0.81,0.019802,-14.975253401385203
0.82,0.019802,-23.96445789688312
0.83,0.019802,-9.62700239238086
0.84,0.019802,-12.93261288787869
0.85,0.019802,-5.018497383376598
0.86,0.019802,-7.332652878874455
0.87,0.019802,-1.396808374372199
0.88,0.019802,1.6891831301298907
0.89,0.019802,4.54446063463206
0.9,0.019802,1.406575139134361
0.91,0.019802,12.244518643636411
0.92,0.019802,15.76581314813859
0.93,0.019802,12.687252652640723
0.94,0.019802,22.726857157142945
0.95,0.019802,29.352154661645045
0.96,0.019802,30.196690166147164
0.97,0.019802,24.158902670649354
0.98,0.019802,28.061055175151523
0.0,0.029702999999999997,-44.531184564848445
0.01,0.029702999999999997,-34.831668259567095
0.02,0.029702999999999997,-28.225169954285775
0.03,0.029702999999999997,-22.466815649004275
0.04,0.029702999999999997,-26.110805343722973
0.05,0.029702999999999997,-18.558018038441674
0.06,0.029702999999999997,-22.698345733160295
0.07,0.029702999999999997,-9.861866427878795
0.08,0.029702999999999997,-11.127683122597432
0.09,0.029702999999999997,0.8128001826838727
0.1,0.029702999999999997,-8.946668512034648
0.11,0.029702999999999997,2.6097817932466114
0.12,0.029702999999999997,1.8117390985280508
0.13,0.029702999999999997,13.728540403809461
0.14,0.029702999999999997,15.688553709091025
0.15,0.029702999999999997,4.634652014372364
0.16,0.029702999999999997,8.923523319653782
0.17,0.029702999999999997,-12.675300375064921
0.18,0.029702999999999997,9.404342930216558
0.19,0.029702999999999997,-0.34950976450215876
0.2,0.029702999999999997,12.927398540779222
0.21,0.029702999999999997,12.568564846060667
0.22,0.029702999999999997,7.752456151341903
0.23,0.029702999999999997,11.956610456623366
0.24,0.029702999999999997,12.900511761904795
0.25,0.029702999999999997,10.093924067186208
0.26,0.029702999999999997,10.094953372467444
0.27,0.029702999999999997,5.890905677748833
0.28,0.029702999999999997,14.713467983030228
0.29,0.029702999999999997,16.544576288311646
0.3,0.029702999999999997,13.540967593592995
0.31,0.029702999999999997,11.17261189887438
0.32,0.029702999999999997,24.22955020415577
0.33,0.029702999999999997,26.825550509437107
0.34,0.029702999999999997,22.155193814718473
0.35,0.029702999999999997,29.395237119999933
0.36,0.029702999999999997,28.62697942528132
0.37,0.029702999999999997,25.49251173056257
0.38,0.029702999999999997,29.470592035843993
0.39,0.029702999999999997,29.699160341125435
0.4,0.029702999999999997,30.496332646406813
0.41,0.029702999999999997,21.991991951688192
0.42,0.029702999999999997,24.93125325696974
0.43,0.029702999999999997,14.514314562250888
0.44,0.029702999999999997,14.348595867532367
0.45,0.029702999999999997,18.316179172813804
0.46,0.029702999999999997,14.61432747809522
0.47,0.029702999999999997,15.659790783376593
0.48,0.029702999999999997,0.35369208865790824
0.49,0.029702999999999997,-2.2273096060606576
0.5,0.029702999999999997,-7.63668030077929
0.51,0.029702999999999997,-3.330718995497932
0.52,0.029702999999999997,-11.872657690216556
0.53,0.029702999999999997,-21.458298384935233
0.54,0.029702999999999997,-12.479729079653794
0.55,0.029702999999999997,-11.707947774372428
0.56,0.029702999999999997,-13.976205469091042
0.57,0.029702999999999997,-27.411699163809658
0.58,0.029702999999999997,-9.742455858528274
0.59,0.029702999999999997,-8.372041553246845
0.6,0.029702999999999997,-13.783121247965596
0.61,0.029702999999999997,-13.254259942684143
0.62,0.029702999999999997,-13.6189526374028
0.63,0.029702999999999997,-5.649417332121402
0.64,0.029702999999999997,-17.93671702684003
0.65,0.029702999999999997,-15.435199721558547
0.66,0.029702999999999997,-14.036952416277245
0.67,0.029702999999999997,-19.200474110995856
0.68,0.029702999999999997,-14.516826805714459
0.69,0.029702999999999997,-19.27727150043313
0.7,0.029702999999999997,-20.710812195151675
0.71,0.029702999999999997,-12.3731128898703
0.72,0.029702999999999997,-17.193860584588947
0.73,0.029702999999999997,-11.297811279307552
0.74,0.029702999999999997,-15.267728974026227
0.75,0.029702999999999997,-14.499120668744695
0.76,0.029702999999999997,-22.804243363463343
0.77,0.029702999999999997,-11.84520605818193
0.78,0.029702999999999997,-17.424009752900588
0.79,0.029702999999999997,-6.528205447619257
0.8,0.029702999999999997,-18.098464142337775
0.81,0.029702999999999997,-12.815207837056505
0.82,0.029702999999999997,-11.431854531775002
0.83,0.029702999999999997,-4.478920226493756
0.84,0.029702999999999997,-4.71543892121224
0.85,0.029702999999999997,1.0243603840690412
0.86,0.029702999999999997,1.0109856893504912
0.87,0.029702999999999997,-3.2746060053682413
0.88,0.029702999999999997,1.268904299913288
0.89,0.029702999999999997,4.547766605194511
0.9,0.029702999999999997,5.307584910475953
0.91,0.029702999999999997,12.397970215757255
0.92,0.029702999999999997,9.332837521038641
0.93,0.029702999999999997,21.91321282632009
0.94,0.029702999999999997,17.002378131601404
0.95,0.029702999999999997,27.739979436882777
0.96,0.029702999999999997,21.110393742164206
0.97,0.029702999999999997,24.632664047445587
0.98,0.029702999999999997,5.885402352727056
0.0,0.039604,-35.090284844040525
0.01,0.039604,-34.6930740842879
0.02,0.039604,-28.613978324535196
0.03,0.039604,-29.57516556478265
0.04,0.039604,-31.598363805029976
0.05,0.039604,-23.889386045277433
0.06,0.039604,-19.554918285524764
0.07,0.039604,-12.580803525772126
0.08,0.039604,-12.89184376601952
0.09,0.039604,-0.49951600626684467
0.1,0.039604,-9.489511246514212
0.11,0.039604,3.813949513238299
0.12,0.039604,5.99289927299094
0.13,0.039604,13.182102032743614
0.14,0.039604,8.095670792496207
0.15,0.039604,15.496299552248843
0.16,0.039604,5.386675312001557
0.17,0.039604,9.051952071754158
0.18,0.039604,10.561956831506677
0.19,0.039604,10.266296591259447
0.2,0.039604,15.536310351012048
0.21,0.039604,13.098804110764604
0.22,0.039604,11.309736870517213
0.23,0.039604,14.343910630269875
0.24,0.039604,5.579012390022513
0.25,0.039604,5.025539149775113
0.26,0.039604,7.036519909527783
0.27,0.039604,8.18544066928041
0.28,0.039604,14.722055429033048
0.29,0.039604,10.97644418878565
0.3,0.039604,14.067991948538292
0.31,0.039604,16.183220708290833
0.32,0.039604,19.38072446804358
0.33,0.039604,11.157086227796185
0.34,0.039604,21.31821298754869
0.35,0.039604,28.623626747301387
0.36,0.039604,29.680750507053972
0.37,0.039604,33.33528526680652
0.38,0.039604,27.987135026559145
0.39,0.039604,25.974190786311738
0.4,0.039604,30.432436546064423
0.41,0.039604,21.195126305817098
0.42,0.039604,25.64116506556968
0.43,0.039604,15.24125782532235
0.44,0.039604,19.4692795850749
0.45,0.039604,17.199986344827607
0.46,0.039604,15.29421910458018
0.47,0.039604,6.498070864332817
0.48,0.039604,5.298846624085513
0.49,0.039604,-4.937731616161841
0.5,0.039604,-9.35643885640934
0.51,0.039604,-8.377440096656642
0.52,0.039604,-6.211674336904025
0.53,0.039604,-21.972422577151406
0.54,0.039604,-22.643814817398834
0.55,0.039604,-16.942649057646122
0.56,0.039604,-14.870877297893571
0.57,0.039604,-16.929232538140923
0.58,0.039604,-13.877480778388303
0.59,0.039604,-11.26029801863558
0.6,0.039604,-8.687062258883088
0.61,0.039604,-10.946100499130353
0.62,0.039604,-16.79107773937767
0.63,0.039604,-11.415594979625098
0.64,0.039604,-14.313061219872566
0.65,0.039604,-16.10823346011989
0.66,0.039604,-18.262535700367266
0.67,0.039604,-22.28280494061471
0.68,0.039604,-23.29135518086207
0.69,0.039604,-20.468363421109416
0.7,0.039604,-13.681747661356667
0.71,0.039604,-15.823354901604148
0.72,0.039604,-13.467648141851441
0.73,0.039604,-14.095095382098862
0.74,0.039604,-11.851936622346216
0.75,0.039604,-11.728162862593535
0.76,0.039604,-11.904194102840961
0.77,0.039604,-9.956934343088392
0.78,0.039604,-10.60684258333572
0.79,0.039604,-11.165441823583137
0.8,0.039604,-8.53092606383052
0.81,0.039604,-4.733568304077835
0.82,0.039604,-10.763359544325226
0.83,0.039604,-1.714048784572583
0.84,0.039604,-7.899601024819958
0.85,0.039604,-6.774362265067339
0.86,0.039604,-3.833206505314706
0.87,0.039604,-7.514608745561986
0.88,0.039604,0.8486670141905961
0.89,0.039604,4.0625287739432
0.9,0.039604,10.63942753369588
0.91,0.039604,3.7878592934483777
0.92,0.039604,11.891857053201079
0.93,0.039604,16.882329812953685
0.94,0.039604,16.229736572706315
0.95,0.039604,18.541254332458948
0.96,0.039604,24.499256092211567
0.97,0.039604,21.620100851964253
0.98,0.039604,23.824928611716814
0.0,0.049505,-39.98052914100981
0.01,0.049505,-35.71661721193129
0.02,0.049505,-27.675118282852736
0.03,0.049505,-28.664869353774293
0.04,0.049505,-26.347979424695723
0.05,0.049505,-24.525473495617234
0.06,0.049505,-23.878993566538725
0.07,0.049505,-11.836273637460181
0.08,0.049505,-11.040135708381627
0.09,0.049505,-0.6802767793029716
0.1,0.049505,-3.782820850224425
0.11,0.049505,1.0787470788541214
0.12,0.049505,10.487922007932525
0.13,0.049505,16.35827893701105
0.14,0.049505,12.846555866089602
0.15,0.049505,12.490349795168186
0.16,0.049505,10.11388072424677
0.17,0.049505,13.792586653325202
0.18,0.049505,14.96030658240386
0.19,0.049505,15.306493511482245
0.2,0.049505,-11.237700559439077
0.21,0.049505,7.659512369639401
0.22,0.049505,6.727622298717961
0.23,0.049505,11.896563227796378
0.24,0.049505,5.307447156875014
0.25,0.049505,11.295968085953632
0.26,0.049505,12.030339015032041
0.27,0.049505,12.6250609441106
0.28,0.049505,10.90044687318914
0.29,0.049505,13.240529802267702
0.3,0.049505,15.069382731346195
0.31,0.049505,11.52640966042486
0.32,0.049505,18.584754589503177
0.33,0.049505,17.927523518581893
0.34,0.049505,25.862577447660442
0.35,0.049505,30.36843237673895
0.36,0.049505,30.124043305817395
0.37,0.049505,26.473404234895952
0.38,0.049505,29.798106163974467
0.39,0.049505,31.713385093053034
0.4,0.049505,28.69384902213153
0.41,0.049505,20.25585595121015
0.42,0.049505,20.65038288028859
0.43,0.049505,17.773425809367268
0.44,0.049505,18.4208817384457
0.45,0.049505,13.409646667524385
0.46,0.049505,5.257298596602823
0.47,0.049505,1.3818055256814432
0.48,0.049505,5.761928454759982
0.49,0.049505,-1.9038476161615563
0.5,0.049505,-3.6777786870829914
0.51,0.049505,-8.141649758004519
0.52,0.049505,-11.535697828926004
0.53,0.049505,-17.1038178998474
0.54,0.049505,-24.444641970768885
0.55,0.049505,-24.693914041690505
0.56,0.049505,-10.0686751126118
0.57,0.049505,-10.294753183533317
0.58,0.049505,-9.531574254454767
0.59,0.049505,-15.644372325376253
0.6,0.049505,-12.420743396297667
0.61,0.049505,-16.735445467219165
0.62,0.049505,-18.038428538140693
0.63,0.049505,-9.76694860906207
0.64,0.049505,-9.276474679983608
0.65,0.049505,-23.57945775090502
0.66,0.049505,-16.104852821826512
0.67,0.049505,-24.376830892747876
0.68,0.049505,-15.667850963669366
0.69,0.049505,-21.149545034590915
0.7,0.049505,-12.748426105512408
0.71,0.049505,-14.209368176433827
0.72,0.049505,-12.518699247355244
0.73,0.049505,-9.882473318276652
0.74,0.049505,-13.115631389198143
0.75,0.049505,-20.617589460119575
0.76,0.049505,-15.665689531041153
0.77,0.049505,-5.0480186019625535
0.78,0.049505,-6.554126672884081
0.79,0.049505,-9.148613743805527
0.8,0.049505,-18.42767081472698
0.81,0.049505,-13.463563885648455
0.82,0.049505,-6.311468956570025
0.83,0.049505,-7.563427027491457
0.84,0.049505,0.3921349015871556
0.85,0.049505,-2.3776451693343006
0.86,0.049505,0.010289759744296134
0.87,0.049505,-3.060515311177255
0.88,0.049505,0.24660861790141553
0.89,0.049505,8.535666546979883
0.9,0.049505,1.8979674760583976
0.91,0.049505,11.967054405136878
0.92,0.049505,12.342049334215403
0.93,0.049505,14.225834263294132
0.94,0.049505,17.065673192372515
0.95,0.049505,20.16820812145113
0.96,0.049505,22.560537050529547
0.97,0.049505,15.460923979608197
0.98,0.049505,27.19236390868673
0.0,0.059405999999999994,-36.79537830101003
0.01,0.059405999999999994,-32.88025652760257
0.02,0.059405999999999994,-35.65336875419507
0.03,0.059405999999999994,-22.49605998078755
0.04,0.059405999999999994,-29.876104207379967
0.05,0.059405999999999994,-22.468063433972475
0.06,0.059405999999999994,-23.303430660564914
0.07,0.059405999999999994,-18.669803887157286
0.08,0.059405999999999994,-10.926801113749889
0.09,0.059405999999999994,-3.357383340342153
0.1,0.059405999999999994,4.370237433065199
0.11,0.059405999999999994,11.64131620647288
0.12,0.059405999999999994,10.50785297988034
0.13,0.059405999999999994,9.962768753287946
