Filename	wpi-10-7
Instrument name	5332-1858
Operator	 
rundate	2023/3/16
Sample name	wpi-10-7
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
35.0064	24.997	153.108	2.98977	0.240757	0.719807	2.90555	2.091e-3			10797.1	0.0102072	0.193703	71.9929	2.98977
70.1064	24.998	188.878	2.87179	0.0326888	0.0938753	8.91603	8.370e-4			1408.13	0.0125919	0.594402	67.1679	2.87179
105.206	24.998	237.703	2.87130	0.0275362	0.0790647	16.53731	1.308e-3			1185.97	0.0158468	1.10249	64.9216	2.87130
140.244	24.998	299.293	2.86971	0.0215646	0.0618843	26.12287	1.617e-3			928.264	0.0199529	1.74152	61.4479	2.86971
175.313	24.998	376.784	2.88667	0.0266549	0.0769440	38.17433	2.937e-3			1154.16	0.0251189	2.54496	60.0419	2.88667
210.319	25.000	474.389	2.97193	0.0257983	0.0766707	53.23062	4.081e-3			1150.06	0.0316259	3.54871	60.1987	2.97193
245.404	25.000	597.049	3.11972	0.0233079	0.0727140	72.80069	5.294e-3			1090.71	0.0398033	4.85338	66.3372	3.11972
280.441	24.999	751.789	2.89804	0.0203754	0.0590489	95.72294	5.652e-3			885.734	0.0501193	6.38153	68.6069	2.89804
315.510	24.999	946.391	2.87983	0.0224612	0.0646846	127.10154	8.222e-3			970.269	0.0630928	8.47344	62.1499	2.87983
350.501	24.999	1191.53	3.08672	0.0236493	0.0729987	164.48577	0.01201			1094.98	0.0794355	10.9657	64.0916	3.08672
385.601	25.000	1500.04	2.87986	0.0231343	0.0666236	212.37481	0.01415			999.354	0.100003	14.1583	65.1043	2.87986
420.701	24.998	1888.42	3.04197	0.0237504	0.0722480	273.43574	0.01976			1083.72	0.125895	18.2290	64.7468	3.04197
455.754	25.001	2377.26	3.00507	0.0255988	0.0769260	349.33624	0.02687			1153.89	0.158484	23.2891	64.6701	3.00507
490.776	24.999	2992.87	2.98478	0.0252110	0.0752493	445.32302	0.03351			1128.74	0.199525	29.6882	65.2845	2.98478
525.876	25.000	3767.89	2.96820	0.0263583	0.0782367	564.03446	0.04413			1173.55	0.251193	37.6023	65.6181	2.96820
560.914	25.000	4743.45	2.98673	0.0249477	0.0745120	714.88738	0.05327			1117.68	0.316230	47.6592	65.9969	2.98673
595.998	25.000	5971.85	2.99505	0.0258182	0.0773267	905.96348	0.07006			1159.90	0.398123	60.3976	66.4215	2.99505
630.973	25.000	7517.77	2.98665	0.0254526	0.0760180	1144.56153	0.08701			1140.27	0.501185	76.3041	66.9192	2.98665
666.104	25.001	9464.69	2.99933	0.0258100	0.0774127	1445.95826	0.1119			1161.19	0.630979	96.3972	67.5373	2.99933
701.126	25.000	11915.8	3.00177	0.0256811	0.0770887	1827.72946	0.1409			1156.33	0.794389	121.849	68.2230	3.00177
736.148	25.000	15000.1	2.99404	0.0260119	0.0778807	2305.30906	0.1795			1168.21	1.00001	153.687	68.9068	2.99404
771.233	25.001	18883.5	2.99728	0.0262353	0.0786347	2906.57854	0.2286			1179.52	1.25890	193.772	69.7496	2.99728
806.255	24.999	23772.2	2.99529	0.0265145	0.0794187	3665.99989	0.2911			1191.28	1.58481	244.400	70.5449	2.99529
841.339	25.000	29928.0	2.99886	0.0268658	0.0805667	4619.44723	0.3722			1208.50	1.99520	307.963	71.3803	2.99886
876.346	24.999	37678.9	3.00400	0.0270402	0.0812287	5822.92700	0.4730			1218.43	2.51192	388.195	72.2445	3.00400
911.477	25.002	47435.0	3.00149	0.0275529	0.0827000	7338.63688	0.6069			1240.50	3.16233	489.242	73.0462	3.00149
946.514	24.999	59715.0	3.03878	0.0277770	0.0844080	9234.17091	0.7794			1266.12	3.98100	615.611	73.8318	3.03878
981.521	25.000	75178.8	3.02981	0.0284134	0.0860873	11634.77802	1.002			1291.31	5.01192	775.652	74.7461	3.02981
1016.61	25.000	94661.2	3.01026	0.0294467	0.0886420	14653.55492	1.299			1329.63	6.31075	976.904	75.1635	3.01026
1051.66	25.000	119149	2.96691	0.0308966	0.0916673	18437.80327	1.690			1375.01	7.94328	1229.19	75.5600	2.96691
1086.74	25.000	150000	2.99322	0.0318545	0.0953473	23233.55293	2.215			1430.21	9.99999	1548.90	76.2411	2.99322
1121.81	25.001	188839	2.99453	0.0333223	0.0997847	29269.94705	2.921			1496.77	12.5893	1951.33	76.9115	2.99453
1156.86	24.999	237734	3.03583	0.0344760	0.104663	36808.60901	3.853			1569.95	15.8489	2453.91	77.8804	3.03583
1191.89	24.999	299289	3.06867	0.0358021	0.109865	46387.97379	5.096			1647.97	19.9526	3092.53	78.8052	3.06867
1226.94	25.000	300000	3.06058	0.0358845	0.109827	56880.15747	6.247			1647.41	20.0000	3792.01	79.3309	3.06058

