Filename	w-4-4
Instrument name	5332-1858
Operator	 
rundate	2023/3/22
Sample name	w-4-4
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9908	24.999	155.377	4.97671	0.399208	1.98674	2.80037	5.564e-3			29801.1	0.0103585	0.186692	17.6678	4.97671
70.0284	24.999	188.869	4.85158	0.123690	0.600095	8.83425	5.301e-3			9001.42	0.0125913	0.588950	-11.3741	4.85158
105.128	25.001	237.767	4.87481	0.0568967	0.277361	16.68662	4.628e-3			4160.41	0.0158511	1.11244	-22.8104	4.87481
140.228	24.999	299.691	4.90573	0.0541378	0.265585	26.08178	6.927e-3			3983.78	0.0199794	1.73879	-23.8339	4.90573
175.266	24.999	377.294	4.86216	0.0904657	0.439859	37.89344	0.01667			6597.88	0.0251530	2.52623	-27.6525	4.86216
210.304	24.999	474.373	4.94985	0.0526859	0.260787	53.31365	0.01390			3911.81	0.0316249	3.55424	-37.8896	4.94985
245.310	25.000	597.166	5.04352	0.0711071	0.358631	72.16673	0.02588			5379.46	0.0398111	4.81112	-37.9302	5.04352
280.379	24.999	751.551	5.04011	0.0796720	0.401556	96.41648	0.03872			6023.34	0.0501034	6.42777	-13.7721	5.04011
315.510	25.000	946.214	4.85616	0.0602028	0.292355	126.00994	0.03684			4385.32	0.0630809	8.40066	-21.8050	4.85616
350.563	24.999	1191.36	5.00515	0.0503162	0.251840	163.85750	0.04127			3777.60	0.0794241	10.9238	-32.7677	5.00515
385.648	25.001	1499.82	4.89537	0.0494601	0.242125	211.57068	0.05123			3631.88	0.0999877	14.1047	-18.3297	4.89537
420.732	24.999	1888.38	5.05387	0.0423277	0.213919	272.08096	0.05820			3208.78	0.125892	18.1387	-27.7613	5.05387
455.785	25.000	2377.33	4.96770	0.0360977	0.179323	347.86582	0.06238			2689.84	0.158489	23.1911	-25.2518	4.96770
490.776	24.998	2992.79	4.98949	0.0307823	0.153588	443.60533	0.06813			2303.82	0.199520	29.5737	-24.7177	4.98949
525.860	25.000	3767.70	4.97689	0.0289931	0.144295	563.59184	0.08132			2164.43	0.251180	37.5728	-24.3185	4.97689
560.867	25.001	4743.88	5.04626	0.0289416	0.146047	716.36778	0.1046			2190.70	0.316259	47.7579	-23.7999	5.04626
595.967	24.999	5970.99	5.02215	0.0294607	0.147956	905.32285	0.1339			2219.34	0.398066	60.3549	-22.9841	5.02215
631.004	25.000	7518.04	5.04434	0.0295329	0.148974	1145.91086	0.1707			2234.61	0.501203	76.3941	-22.3235	5.04434
666.026	24.999	9464.55	5.03877	0.0313464	0.157947	1449.56303	0.2290			2369.21	0.630970	96.6375	-21.5292	5.03877
701.048	24.999	11915.6	5.05270	0.0325376	0.164403	1827.09765	0.3004			2466.04	0.794374	121.807	-20.7365	5.05270
736.055	25.000	14999.9	5.04970	0.0341081	0.172236	2304.71802	0.3970			2583.54	0.999992	153.648	-19.7698	5.04970
771.170	25.001	18884.2	5.07124	0.0359577	0.182350	2909.42025	0.5305			2735.25	1.25894	193.961	-18.4976	5.07124
806.161	24.998	23771.3	5.07787	0.0368104	0.186919	3666.64767	0.6854			2803.78	1.58476	244.443	-17.3211	5.07787
841.230	25.001	29926.6	5.08859	0.0374951	0.190797	4621.46473	0.8818			2861.96	1.99511	308.098	-16.0948	5.08859
876.283	25.000	37677.2	5.10951	0.0382222	0.195297	5826.69926	1.138			2929.45	2.51181	388.447	-14.9123	5.10951
911.399	25.001	47431.1	5.12687	0.0389419	0.199650	7335.76822	1.465			2994.75	3.16207	489.051	-13.6780	5.12687
946.436	25.000	59720.8	5.10596	0.0397687	0.203057	9239.43043	1.876			3045.86	3.98139	615.962	-11.7110	5.10596
981.474	25.000	75183.5	5.12297	0.0400658	0.205256	11630.27191	2.387			3078.84	5.01223	775.351	-10.0530	5.12297
1016.56	25.000	94663.6	5.14880	0.0405170	0.208614	14662.24575	3.059			3129.21	6.31090	977.483	-7.83727	5.14880
1051.53	25.000	119149	5.22148	0.0406978	0.212503	18428.61938	3.916			3187.54	7.94328	1228.57	-6.23626	5.22148
1086.66	25.000	150000	5.23867	0.0413787	0.216769	23218.10913	5.033			3251.54	9.99999	1547.87	-4.01580	5.23867
1121.70	25.001	188839	5.19618	0.0426678	0.221709	29272.81189	6.490			3325.64	12.5893	1951.52	-1.35067	5.19618
1156.82	25.000	237734	5.22120	0.0435039	0.227143	36817.59262	8.363			3407.14	15.8489	2454.51	0.273580	5.22120
1191.86	25.000	299289	5.24859	0.0446571	0.234387	46385.58960	10.87			3515.80	19.9526	3092.37	0.819823	5.24859
1226.89	25.000	300000	5.24171	0.0446399	0.233989	56862.37793	13.31			3509.84	20.0000	3790.83	1.04750	5.24171

