Filename	w-4-2
Instrument name	5332-1858
Operator	 
rundate	2023/3/22
Sample name	w-4-2
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9596	24.999	150.883	4.86641	0.613040	2.98331	2.75730	8.226e-3			44749.6	0.0100589	0.183820	54.7739	4.86641
70.0128	24.998	191.543	4.82819	0.0985225	0.475685	8.96779	4.266e-3			7135.27	0.0127696	0.597853	33.0547	4.82819
104.988	24.999	237.720	4.85609	0.0486379	0.236190	16.53689	3.906e-3			3542.85	0.0158480	1.10246	10.9784	4.85609
140.088	25.000	299.328	4.89380	0.0737562	0.360948	26.26406	9.480e-3			5414.22	0.0199552	1.75094	2.15305	4.89380
175.141	25.000	376.861	4.88897	0.0552957	0.270339	37.89369	0.01024			4055.08	0.0251241	2.52625	0.988113	4.88897
210.210	25.000	474.291	4.87059	0.0474651	0.231183	53.49634	0.01237			3467.75	0.0316194	3.56642	-9.13676	4.87059
245.279	25.000	597.048	5.00837	0.0535747	0.268322	72.30029	0.01940			4024.83	0.0398032	4.82002	-12.5613	5.00837
280.316	24.999	751.776	5.12509	0.0708677	0.363203	96.63308	0.03510			5448.05	0.0501184	6.44220	4.13962	5.12509
315.338	24.999	946.809	4.81862	0.0543258	0.261775	126.46772	0.03311			3926.63	0.0631206	8.43118	9.51924	4.81862
350.438	25.000	1191.40	4.97336	0.0470708	0.234100	164.84493	0.03859			3511.50	0.0794265	10.9897	-9.23090	4.97336
385.538	25.000	1500.13	5.00259	0.0455569	0.227903	212.78170	0.04849			3418.54	0.100009	14.1854	4.81252	5.00259
420.592	25.000	1888.16	5.03161	0.0402014	0.202278	271.89499	0.05500			3034.17	0.125877	18.1263	-2.48766	5.03161
455.598	25.001	2377.31	4.95209	0.0331594	0.164208	347.83852	0.05712			2463.12	0.158488	23.1892	-0.0673566	4.95209
490.682	24.999	2992.92	4.99498	0.0314749	0.157217	442.56663	0.06958			2358.25	0.199528	29.5044	0.527015	4.99498
525.720	25.000	3767.51	4.98467	0.0298446	0.148765	563.96753	0.08390			2231.48	0.251167	37.5978	1.76693	4.98467
560.789	25.000	4743.65	5.04205	0.0290233	0.146337	715.93881	0.1048			2195.05	0.316243	47.7293	2.09809	5.04205
595.858	25.000	5971.53	5.02232	0.0284289	0.142779	905.88170	0.1293			2141.69	0.398102	60.3921	3.18003	5.02232
630.911	25.000	7518.11	5.04262	0.0288478	0.145469	1146.40105	0.1668			2182.03	0.501207	76.4267	4.26675	5.04262
665.995	24.999	9464.17	5.02809	0.0300394	0.151041	1449.09704	0.2189			2265.61	0.630945	96.6065	5.07215	5.02809
701.017	24.999	11914.5	5.03461	0.0320590	0.161405	1827.37076	0.2949			2421.07	0.794302	121.825	6.05168	5.03461
736.055	25.000	15000.2	5.04433	0.0333844	0.168402	2306.08869	0.3883			2526.03	1.00002	153.739	7.07858	5.04433
771.092	25.000	18884.8	5.05980	0.0357117	0.180694	2910.42447	0.5259			2710.41	1.25898	194.028	8.14791	5.05980
806.099	24.999	23775.1	5.06950	0.0364941	0.185007	3667.26565	0.6785			2775.10	1.58501	244.484	9.48224	5.06950
841.183	25.000	29928.0	5.07238	0.0372775	0.189086	4623.25907	0.8742			2836.29	1.99520	308.217	10.9396	5.07238
876.236	25.000	37677.5	5.08884	0.0382476	0.194636	5827.22855	1.134			2919.54	2.51183	388.482	12.4241	5.08884
911.305	25.001	47434.0	5.10537	0.0388840	0.198517	7335.37197	1.456			2977.76	3.16227	489.025	13.7994	5.10537
946.358	25.000	59719.9	5.10617	0.0397780	0.203113	9236.96232	1.876			3046.70	3.98132	615.797	14.7569	5.10617
981.396	25.000	75181.9	5.12594	0.0400890	0.205494	11630.86033	2.390			3082.41	5.01213	775.391	16.3230	5.12594
1016.43	25.001	94665.8	5.18801	0.0401148	0.208116	14650.69675	3.049			3121.74	6.31106	976.713	18.4436	5.18801
1051.46	25.000	119149	5.29363	0.0402489	0.213063	18441.80298	3.929			3195.94	7.94329	1229.45	20.2366	5.29363
1086.56	25.000	150000	5.31124	0.0409803	0.217656	23242.08641	5.059			3264.84	10.0000	1549.47	22.6442	5.31124
1121.56	25.000	188839	5.27847	0.0421310	0.222387	29259.00078	6.507			3335.81	12.5893	1950.60	25.1244	5.27847
1156.63	25.001	237734	5.26065	0.0434316	0.228479	36796.45538	8.407			3427.18	15.8489	2453.10	26.3634	5.26065
1191.68	25.000	299289	5.28352	0.0444597	0.234904	46371.15860	10.89			3523.56	19.9526	3091.41	26.9244	5.28352
1226.80	25.000	300000	5.27888	0.0444618	0.234709	56876.76636	13.35			3520.63	20.0000	3791.78	27.1327	5.27888

