Filename	w-10-4
Instrument name	5332-1858
Operator	 
rundate	2023/3/22
Sample name	w-10-4
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9440	24.999	154.679	5.05302	0.403866	2.04075	2.86037	5.837e-3			30611.2	0.0103119	0.190691	-17.9716	5.05302
70.0284	24.999	188.874	4.84935	0.0248084	0.120305	8.93283	1.075e-3			1804.57	0.0125916	0.595522	-36.4006	4.84935
105.019	24.999	237.753	4.89733	0.0308432	0.151049	16.52888	2.497e-3			2265.74	0.0158502	1.10193	-40.4768	4.89733
140.072	25.001	299.326	4.97402	0.0293713	0.146093	26.02979	3.803e-3			2191.40	0.0199551	1.73532	-40.6973	4.97402
175.126	24.999	376.897	5.00701	0.0291658	0.146033	38.06335	5.559e-3			2190.50	0.0251265	2.53756	-40.7022	5.00701
210.163	25.001	474.327	5.17769	0.0215277	0.111464	53.44350	5.957e-3			1671.96	0.0316218	3.56290	-18.6680	5.17769
245.232	24.999	597.424	4.85795	0.0169266	0.0822287	72.25595	5.942e-3			1233.43	0.0398283	4.81706	-12.3732	4.85795
280.254	25.000	751.743	4.86620	0.0146551	0.0713147	95.72148	6.826e-3			1069.72	0.0501162	6.38143	-24.9729	4.86620
315.307	25.000	946.398	4.98890	0.0202478	0.101014	126.33231	0.01276			1515.21	0.0630932	8.42215	-37.4727	4.98890
350.392	25.000	1191.55	5.01583	0.0173807	0.0871787	164.98384	0.01438			1307.68	0.0794364	10.9989	-15.8468	5.01583
385.492	25.001	1499.89	4.87176	0.0198539	0.0967233	213.53580	0.02065			1450.85	0.0999924	14.2357	-29.0570	4.87176
420.529	25.000	1888.38	4.98324	0.0175368	0.0873900	272.50397	0.02381			1310.85	0.125892	18.1669	-22.1084	4.98324
455.567	25.001	2377.40	5.06834	0.0199078	0.100899	348.80069	0.03519			1513.49	0.158493	23.2534	-25.7823	5.06834
490.651	25.001	2992.91	5.01296	0.0206160	0.103347	443.19189	0.04580			1550.21	0.199527	29.5461	-24.2965	5.01296
525.673	25.000	3767.83	5.02417	0.0219022	0.110041	564.07869	0.06207			1650.61	0.251188	37.6052	-23.9828	5.02417
560.789	24.999	4743.18	4.98912	0.0214135	0.106835	714.89239	0.07638			1602.52	0.316212	47.6595	-22.8087	4.98912
595.795	25.000	5971.66	5.00816	0.0228403	0.114388	906.29673	0.1037			1715.82	0.398110	60.4198	-22.0508	5.00816
630.864	25.000	7517.43	5.00434	0.0237461	0.118833	1145.51663	0.1361			1782.50	0.501162	76.3678	-20.8199	5.00434
665.902	25.000	9464.24	5.03531	0.0247749	0.124749	1447.62874	0.1806			1871.24	0.630950	96.5086	-19.7618	5.03531
700.892	25.000	11915.0	5.05566	0.0256686	0.129772	1827.85845	0.2372			1946.58	0.794336	121.857	-18.6506	5.05566
735.946	24.998	15000.2	5.05446	0.0273295	0.138136	2305.84478	0.3185			2072.04	1.00001	153.723	-17.7003	5.05446
770.983	25.000	18883.9	5.05606	0.0286873	0.145045	2905.55882	0.4214			2175.67	1.25892	193.704	-16.3297	5.05606
806.036	24.999	23772.6	5.06421	0.0303242	0.153568	3666.09168	0.5630			2303.52	1.58484	244.406	-14.7190	5.06421
841.090	24.999	29928.3	5.08872	0.0319240	0.162452	4621.21010	0.7507			2436.78	1.99522	308.081	-13.5750	5.08872
876.158	25.001	37677.4	5.09931	0.0331591	0.169089	5822.87550	0.9846			2536.33	2.51182	388.192	-12.1780	5.09931
911.196	24.999	47432.4	5.11076	0.0342443	0.175015	7335.35671	1.284			2625.22	3.16216	489.024	-10.8465	5.11076
946.202	24.999	59718.7	5.16458	0.0351016	0.181285	9223.55175	1.672			2719.28	3.98125	614.903	-9.63482	5.16458
981.287	25.001	75177.9	5.20702	0.0360650	0.187791	11643.16463	2.186			2816.87	5.01186	776.211	-7.85397	5.20702
1016.31	25.001	94641.4	5.21393	0.0373854	0.194925	14663.91659	2.858			2923.87	6.30943	977.594	-5.79799	5.21393
1051.41	25.000	119149	5.03571	0.0402608	0.202742	18440.85884	3.739			3041.13	7.94328	1229.39	-4.48723	5.03571
1086.46	25.001	150000	5.05775	0.0415953	0.210379	23231.90117	4.887			3155.68	10.0000	1548.79	-2.08629	5.05775
1121.58	25.000	188839	5.09063	0.0427441	0.217595	29262.44164	6.367			3263.92	12.5893	1950.83	1.16395	5.09063
1156.63	25.000	237734	5.14330	0.0441239	0.226943	36820.09125	8.356			3404.14	15.8489	2454.67	2.98562	5.14330
1191.64	25.000	299289	5.19365	0.0460672	0.239257	46383.22067	11.10			3588.85	19.9526	3092.21	3.63882	5.19365
1226.74	25.000	300000	5.19301	0.0461159	0.239480	56893.87207	13.62			3592.20	20.0000	3792.92	3.64318	5.19301

