Filename	wpi-4-1 (3)
Instrument name	5332-1858
Operator	 
rundate	2023/3/16
Sample name	wpi-4-1
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
35.0064	24.999	151.467	3.14326	0.131832	0.414383	2.87969	1.193e-3			6215.75	0.0100978	0.191980	53.5789	3.14326
70.0284	25.001	188.850	3.14234	0.0338828	0.106471	8.97511	9.556e-4			1597.07	0.0125900	0.598341	69.5185	3.14234
105.144	25.000	237.754	3.13800	0.0398104	0.124925	16.60454	2.074e-3			1873.88	0.0158503	1.10697	90.3452	3.13800
140.135	25.001	299.399	2.92277	0.0417998	0.122171	25.82232	3.155e-3			1832.57	0.0199600	1.72149	92.4732	2.92277
175.219	25.000	376.791	2.86610	0.0539290	0.154566	38.24882	5.912e-3			2318.49	0.0251194	2.54992	71.2974	2.86610
210.210	25.000	474.479	2.86286	0.0268503	0.0768687	53.10210	4.082e-3			1153.03	0.0316320	3.54014	66.5339	2.86286
245.310	25.001	597.109	2.87483	0.0292889	0.0842007	72.65648	6.118e-3			1263.01	0.0398073	4.84377	57.8881	2.87483
280.316	25.000	751.789	3.10124	0.0316789	0.0982440	95.63093	9.395e-3			1473.66	0.0501193	6.37540	59.2402	3.10124
315.385	25.000	946.439	2.87696	0.0246466	0.0709073	126.14648	8.945e-3			1063.61	0.0630959	8.40977	84.7493	2.87696
350.470	25.000	1191.46	2.86274	0.0276257	0.0790853	165.33178	0.01308			1186.28	0.0794306	11.0221	61.7204	2.86274
385.507	25.001	1499.97	3.08780	0.0270199	0.0834320	212.80576	0.01775			1251.48	0.0999983	14.1871	71.6470	3.08780
420.576	24.999	1888.37	2.99579	0.0293160	0.0878247	272.72612	0.02395			1317.37	0.125892	18.1817	62.0089	2.99579
455.645	25.000	2377.17	2.89458	0.0302279	0.0874973	349.30760	0.03056			1312.46	0.158478	23.2872	66.2754	2.89458
490.667	24.999	2992.79	3.00757	0.0290075	0.0872420	443.53300	0.03869			1308.63	0.199519	29.5689	64.8245	3.00757
525.736	24.999	3767.97	2.99519	0.0279771	0.0837967	564.04632	0.04727			1256.95	0.251198	37.6031	67.7513	2.99519
560.851	25.001	4743.66	3.03050	0.0288960	0.0875693	716.73989	0.06276			1313.54	0.316244	47.7827	68.7167	3.03050
595.873	24.998	5972.15	2.96895	0.0287121	0.0852447	907.01419	0.07732			1278.67	0.398144	60.4676	71.3398	2.96895
630.973	25.002	7518.22	2.98952	0.0285022	0.0852080	1145.45441	0.09760			1278.12	0.501214	76.3636	71.9131	2.98952
666.026	25.000	9464.45	2.96032	0.0280461	0.0830253	1451.37513	0.1205			1245.38	0.630964	96.7583	72.1541	2.96032
701.095	25.000	11915.9	2.98788	0.0285350	0.0852593	1830.04975	0.1560			1278.89	0.794396	122.003	71.6893	2.98788
736.148	25.000	14999.6	2.96980	0.0286181	0.0849900	2305.78041	0.1960			1274.85	0.999973	153.719	73.7668	2.96980
771.186	24.999	18886.2	2.97150	0.0289203	0.0859367	2908.13828	0.2499			1289.05	1.25908	193.876	74.7049	2.97150
806.208	25.000	23772.6	3.02030	0.0288357	0.0870927	3668.56718	0.3195			1306.39	1.58484	244.571	73.7650	3.02030
841.277	25.001	29933.5	3.01639	0.0287709	0.0867840	4624.37868	0.4013			1301.76	1.99557	308.292	74.5044	3.01639
876.361	24.998	37682.0	3.01971	0.0291004	0.0878747	5823.48108	0.5117			1318.12	2.51213	388.232	74.8302	3.01971
911.383	25.002	47441.7	3.01823	0.0293315	0.0885293	7340.29102	0.6498			1327.94	3.16278	489.353	75.5547	3.01823
946.468	25.000	59714.8	3.15703	0.0284091	0.0896887	9230.49068	0.8279			1345.33	3.98099	615.366	76.1338	3.15703
981.443	25.000	75176.8	3.14792	0.0290376	0.0914080	11629.25625	1.063			1371.12	5.01179	775.284	76.7627	3.14792
1016.51	25.001	94644.4	3.16426	0.0295789	0.0935953	14649.29581	1.371			1403.93	6.30963	976.620	77.0171	3.16426
1051.56	25.001	119149	3.36573	0.0287141	0.0966440	18425.78125	1.781			1449.66	7.94328	1228.39	76.7945	3.36573
1086.62	24.998	150000	3.32888	0.0298198	0.0992667	23222.57042	2.305			1489.00	9.99999	1548.17	77.1930	3.32888
1121.72	25.000	188839	3.27867	0.0311521	0.102137	29279.07372	2.990			1532.06	12.5893	1951.94	78.0728	3.27867
1156.72	25.001	237734	3.21341	0.0327181	0.105137	36810.27222	3.870			1577.05	15.8489	2454.02	80.1378	3.21341
1191.79	25.000	299289	3.17199	0.0343862	0.109073	46362.48398	5.057			1636.09	19.9526	3090.83	81.5144	3.17199
1226.82	25.001	300000	3.15525	0.0344461	0.108686	56842.32788	6.178			1630.29	20.0000	3789.49	82.3219	3.15525

