Filename	wpi-4-1 (1)
Instrument name	5332-1858
Operator	 
rundate	2023/3/16
Sample name	wpi-4-1
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9752	25.000	154.947	3.14289	0.351504	1.10474	2.86386	3.164e-3			16571.1	0.0103298	0.190924	99.8878	3.14289
69.9504	25.000	188.838	2.88508	0.0325065	0.0937840	8.76226	8.218e-4			1406.76	0.0125892	0.584151	108.609	2.88508
105.050	24.999	237.638	2.86394	0.0287855	0.0824400	16.51883	1.362e-3			1236.60	0.0158425	1.10126	82.9648	2.86394
140.119	24.999	299.266	2.87113	0.0251104	0.0720953	26.17725	1.887e-3			1081.43	0.0199511	1.74515	74.9956	2.87113
175.219	25.000	377.249	2.86380	0.0235542	0.0674547	37.99859	2.563e-3			1011.82	0.0251499	2.53324	72.1165	2.86380
210.272	24.999	474.310	2.86648	0.0216328	0.0620099	53.38296	3.310e-3			930.148	0.0316207	3.55886	64.0134	2.86648
245.341	24.999	597.132	2.95117	0.0275802	0.0813940	72.28731	5.884e-3			1220.91	0.0398088	4.81915	63.2264	2.95117
280.332	25.001	751.784	3.12970	0.0255431	0.0799420	96.69597	7.730e-3			1199.13	0.0501190	6.44640	89.8640	3.12970
315.432	24.999	946.416	2.82933	0.0200396	0.0566986	126.21856	7.156e-3			850.479	0.0630944	8.41457	77.0335	2.82933
350.516	25.001	1191.45	2.96427	0.0259490	0.0769200	164.38869	0.01264			1153.80	0.0794299	10.9592	64.4594	2.96427
385.538	24.999	1500.04	2.92965	0.0224031	0.0656332	212.19274	0.01393			984.498	0.100003	14.1462	81.4589	2.92965
420.607	25.001	1888.43	3.08602	0.0265757	0.0820133	271.43434	0.02226			1230.20	0.125896	18.0956	69.3714	3.08602
455.660	25.001	2377.26	3.01007	0.0261196	0.0786220	348.58772	0.02741			1179.33	0.158484	23.2392	68.4564	3.01007
490.698	25.000	2992.97	3.00179	0.0258126	0.0774840	442.65777	0.03430			1162.26	0.199531	29.5105	71.6166	3.00179
525.736	25.000	3767.98	2.96488	0.0255970	0.0758920	563.32433	0.04275			1138.38	0.251198	37.5550	73.3359	2.96488
560.804	25.001	4743.51	3.01440	0.0261438	0.0788080	714.67495	0.05632			1182.12	0.316234	47.6450	76.1028	3.01440
595.936	25.000	5972.33	3.00039	0.0270029	0.0810193	906.44252	0.07344			1215.29	0.398155	60.4295	75.3567	3.00039
630.958	25.001	7517.76	3.00081	0.0270041	0.0810340	1145.78342	0.09285			1215.51	0.501184	76.3856	77.3429	3.00081
665.980	25.000	9464.83	2.98781	0.0270629	0.0808587	1447.55042	0.1170			1212.88	0.630989	96.5034	76.6792	2.98781
701.048	25.001	11915.8	2.94774	0.0279245	0.0823140	1826.77805	0.1504			1234.71	0.794385	121.785	79.0049	2.94774
736.102	25.000	14999.8	2.94665	0.0280119	0.0825413	2306.47802	0.1904			1238.12	0.999990	153.765	79.9265	2.94665
771.155	25.001	18884.7	2.97528	0.0285197	0.0848540	2910.22754	0.2469			1272.81	1.25898	194.015	79.4071	2.97528
806.224	25.000	23774.3	3.00091	0.0284220	0.0852920	3668.02907	0.3129			1279.38	1.58495	244.535	79.0881	3.00091
841.277	25.000	29930.7	2.99569	0.0287355	0.0860827	4623.77357	0.3980			1291.24	1.99538	308.252	79.9538	2.99569
876.330	24.999	37684.1	3.02220	0.0289206	0.0874040	5824.43190	0.5091			1311.06	2.51228	388.295	80.2711	3.02220
911.336	25.000	47430.4	3.04136	0.0290407	0.0883233	7337.93402	0.6481			1324.85	3.16203	489.196	80.9041	3.04136
946.405	25.000	59714.7	2.96899	0.0301773	0.0895960	9227.23484	0.8267			1343.94	3.98098	615.149	81.4183	2.96899
981.443	25.000	75178.7	3.00611	0.0304640	0.0915780	11630.05829	1.065			1373.67	5.01191	775.337	81.6628	3.00611
1016.56	25.000	94637.7	3.07335	0.0305519	0.0938967	14665.77530	1.377			1408.45	6.30918	977.718	81.7894	3.07335
1051.60	25.000	119149	3.21079	0.0301641	0.0968507	18438.96866	1.786			1452.76	7.94328	1229.26	81.6640	3.21079
1086.65	25.000	150000	3.23297	0.0308363	0.0996927	23234.34258	2.316			1495.39	9.99999	1548.96	81.9216	3.23297
1121.75	25.000	188839	3.23503	0.0316928	0.102527	29276.49689	3.002			1537.91	12.5893	1951.77	82.7281	3.23503
1156.80	24.999	237734	3.21219	0.0328623	0.105560	36824.08524	3.887			1583.40	15.8489	2454.94	84.7332	3.21219
1191.87	25.000	299289	3.04710	0.0359724	0.109611	46382.32803	5.084			1644.17	19.9526	3092.16	85.9734	3.04710
1226.92	25.000	300000	3.04582	0.0359439	0.109479	56875.18066	6.227			1642.18	20.0000	3791.68	86.3404	3.04582

