Filename	wpi-10-3
Instrument name	5332-1858
Operator	 
rundate	2023/3/16
Sample name	wpi-10-3
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9596	24.998	154.222	3.15731	0.489471	1.54541	2.89026	4.467e-3			23181.2	0.0102814	0.192684	75.5647	3.15731
70.0284	25.000	189.409	2.86358	0.0615160	0.176156	8.88861	1.566e-3			2642.34	0.0126272	0.592574	80.4986	2.86358
105.144	24.998	237.769	2.86742	0.0399904	0.114669	16.51307	1.894e-3			1720.04	0.0158513	1.10087	68.0517	2.86742
140.228	24.998	299.296	2.86949	0.0380413	0.109159	26.12447	2.852e-3			1637.39	0.0199531	1.74163	63.4588	2.86949
175.235	25.001	376.866	2.86938	0.0302303	0.0867420	38.09042	3.304e-3			1301.13	0.0251244	2.53936	60.7829	2.86938
210.319	24.999	474.329	2.87303	0.0253048	0.0727013	53.47927	3.888e-3			1090.52	0.0316219	3.56528	55.9863	2.87303
245.341	25.000	597.162	2.93845	0.0278088	0.0817147	72.30654	5.909e-3			1225.72	0.0398108	4.82044	55.3803	2.93845
280.410	24.999	751.822	3.10854	0.0230635	0.0716940	96.69833	6.933e-3			1075.41	0.0501215	6.44656	60.6638	3.10854
315.401	25.000	946.458	2.88290	0.0206848	0.0596321	125.76491	7.500e-3			894.481	0.0630972	8.38433	62.5535	2.88290
350.485	24.999	1191.47	2.93996	0.0249199	0.0732633	164.77641	0.01207			1098.95	0.0794313	10.9851	56.8066	2.93996
385.523	25.000	1499.96	2.97873	0.0215423	0.0641688	212.32870	0.01362			962.532	0.0999974	14.1552	61.4700	2.97873
420.592	25.001	1888.37	3.02423	0.0248852	0.0752587	271.97331	0.02047			1128.88	0.125892	18.1316	58.2093	3.02423
455.614	24.999	2377.37	2.96011	0.0254439	0.0753167	347.93296	0.02621			1129.75	0.158491	23.1955	59.5491	2.96011
490.698	25.000	2992.91	2.98083	0.0251661	0.0750160	443.16730	0.03324			1125.24	0.199528	29.5445	60.1261	2.98083
525.720	25.001	3767.78	2.97364	0.0247544	0.0736107	564.08346	0.04152			1104.16	0.251185	37.6056	60.4701	2.97364
560.758	25.000	4743.40	3.01768	0.0255764	0.0771813	715.88922	0.05525			1157.72	0.316227	47.7259	60.8287	3.01768
595.858	25.000	5971.97	2.99787	0.0261392	0.0783620	906.67033	0.07105			1175.43	0.398131	60.4447	61.3624	2.99787
630.911	25.000	7518.11	3.01243	0.0255488	0.0769640	1146.08955	0.08821			1154.46	0.501207	76.4060	61.6626	3.01243
665.964	25.000	9464.60	3.00015	0.0256225	0.0768713	1447.73901	0.1113			1153.07	0.630973	96.5159	62.3178	3.00015
701.017	25.000	11915.1	2.99740	0.0257768	0.0772633	1827.10707	0.1412			1158.95	0.794338	121.807	63.0172	2.99740
736.055	24.999	15000.6	2.99242	0.0256000	0.0766060	2304.51250	0.1765			1149.09	1.00004	153.634	63.8197	2.99242
771.092	25.001	18883.4	2.99928	0.0262009	0.0785840	2908.16069	0.2285			1178.76	1.25890	193.877	64.7140	2.99928
806.130	24.999	23774.3	2.99832	0.0262322	0.0786527	3665.58957	0.2883			1179.79	1.58495	244.373	65.3941	2.99832
841.230	25.000	29928.6	3.00484	0.0266725	0.0801467	4616.86611	0.3700			1202.20	1.99524	307.791	65.9789	3.00484
876.283	24.999	37679.3	3.00935	0.0271387	0.0816700	5827.37923	0.4759			1225.05	2.51196	388.492	66.8545	3.00935
911.383	25.001	47430.2	3.01002	0.0275704	0.0829873	7333.63008	0.6086			1244.81	3.16201	488.909	67.8977	3.01002
946.405	24.998	59716.2	2.97062	0.0284764	0.0845927	9228.62720	0.7807			1268.89	3.98108	615.242	69.1162	2.97062
981.474	25.001	75179.3	2.98627	0.0288938	0.0862847	11620.48340	1.003			1294.27	5.01195	774.699	69.9130	2.98627
1016.51	25.001	94657.2	3.02519	0.0293471	0.0887807	14656.91185	1.301			1331.71	6.31048	977.127	70.2446	3.02519
1051.53	24.999	119149	3.13743	0.0292246	0.0916900	18430.98450	1.690			1375.35	7.94328	1228.73	70.8103	3.13743
1086.63	25.000	150000	3.14906	0.0303612	0.0956093	23240.84854	2.222			1434.14	9.99999	1549.39	71.1711	3.14906
1121.67	24.999	188839	3.11654	0.0320443	0.0998673	29263.49258	2.922			1498.01	12.5893	1950.90	71.9728	3.11654
1156.74	25.001	237734	3.13896	0.0333369	0.104643	36809.00574	3.852			1569.65	15.8489	2453.93	72.9315	3.13896
1191.75	24.999	299289	3.11376	0.0353257	0.109996	46387.41302	5.102			1649.94	19.9526	3092.49	73.5766	3.11376
1226.82	24.999	300000	3.10523	0.0353951	0.109910	56873.70850	6.251			1648.65	20.0000	3791.58	74.0960	3.10523

