Filename	w-10-2
Instrument name	5332-1858
Operator	 
rundate	2023/3/22
Sample name	w-10-2
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9908	25.000	153.517	5.13322	0.564290	2.89663	2.79074	8.084e-3			43449.4	0.0102345	0.186049	51.8137	5.13322
70.0596	24.999	189.902	4.85110	0.0462805	0.224511	8.92480	2.004e-3			3367.67	0.0126601	0.594987	-15.8178	4.85110
105.160	24.999	237.742	4.90027	0.0173886	0.0852087	16.50037	1.406e-3			1278.13	0.0158495	1.10002	-24.1832	4.90027
140.213	25.001	299.294	4.91309	0.0157316	0.0772907	25.97372	2.008e-3			1159.36	0.0199529	1.73158	-24.0903	4.91309
175.266	25.000	376.826	4.85554	0.0184140	0.0894100	38.10003	3.407e-3			1341.15	0.0251217	2.54000	-34.8421	4.85554
210.366	24.999	474.319	4.95419	0.0198145	0.0981647	53.20922	5.223e-3			1472.47	0.0316213	3.54728	-40.5888	4.95419
245.372	25.000	597.089	5.05335	0.0218512	0.110422	71.84274	7.933e-3			1656.33	0.0398060	4.78952	-40.3039	5.05335
280.472	24.999	751.810	4.95746	0.0186188	0.0923020	95.83812	8.846e-3			1384.53	0.0501206	6.38921	-9.06692	4.95746
315.494	25.001	946.435	4.87058	0.0149491	0.0728107	125.85209	9.163e-3			1092.16	0.0630957	8.39014	-25.6946	4.87058
350.532	24.999	1191.46	5.08483	0.0212402	0.108003	163.50523	0.01766			1620.04	0.0794305	10.9003	-37.1728	5.08483
385.601	25.000	1500.15	4.83733	0.0162486	0.0786000	212.01077	0.01666			1179.00	0.100010	14.1341	-17.8958	4.83733
420.716	25.000	1888.44	5.06837	0.0211067	0.106977	272.39841	0.02914			1604.65	0.125896	18.1599	-28.2424	5.06837
455.785	24.999	2377.33	4.97323	0.0213642	0.106249	348.31846	0.03701			1593.74	0.158489	23.2212	-25.7687	4.97323
490.807	24.999	2992.88	5.00403	0.0211471	0.105821	443.92416	0.04698			1587.31	0.199525	29.5949	-25.9755	5.00403
525.845	25.001	3767.75	4.98129	0.0214176	0.106687	564.55588	0.06023			1600.31	0.251183	37.6371	-25.0348	4.98129
560.851	25.001	4743.46	5.07017	0.0220164	0.111627	716.65251	0.08000			1674.40	0.316231	47.7768	-24.3952	5.07017
595.936	24.998	5971.68	5.02943	0.0230713	0.116035	905.56413	0.1051			1740.53	0.398112	60.3709	-22.9678	5.02943
630.942	25.000	7517.98	5.04286	0.0236162	0.119093	1145.70725	0.1364			1786.40	0.501198	76.3805	-22.2179	5.04286
666.026	24.999	9464.27	5.03375	0.0249068	0.125375	1448.63367	0.1816			1880.62	0.630952	96.5756	-21.1506	5.03375
701.080	25.000	11915.2	5.04571	0.0259929	0.131153	1826.59650	0.2396			1967.29	0.794344	121.773	-20.1025	5.04571
736.148	24.999	14999.6	5.03581	0.0268926	0.135426	2306.25963	0.3123			2031.39	0.999976	153.751	-19.0641	5.03581
771.217	25.000	18883.5	5.05558	0.0285390	0.144281	2909.53159	0.4198			2164.22	1.25890	193.969	-18.0845	5.05558
806.239	25.001	23772.6	5.06683	0.0298113	0.151049	3666.59713	0.5538			2265.73	1.58484	244.440	-16.8700	5.06683
841.308	25.001	29927.4	5.07573	0.0315045	0.159908	4623.68965	0.7394			2398.62	1.99516	308.246	-15.5570	5.07573
876.361	24.999	37677.0	5.09598	0.0329010	0.167663	5827.04496	0.9770			2514.94	2.51180	388.470	-14.2521	5.09598
911.477	25.000	47430.7	5.11832	0.0339476	0.173755	7338.00364	1.275			2606.32	3.16205	489.200	-12.8166	5.11832
946.499	25.000	59718.8	5.07761	0.0354970	0.180240	9238.26790	1.665			2703.60	3.98125	615.885	-11.5483	5.07761
981.552	25.000	75186.5	5.10142	0.0366789	0.187115	11644.31477	2.179			2806.72	5.01244	776.288	-10.0701	5.10142
1016.59	25.000	94665.4	5.11056	0.0379836	0.194117	14664.48402	2.847			2911.76	6.31103	977.632	-7.98099	5.11056
1051.61	25.000	119149	5.25052	0.0385250	0.202277	18441.89835	3.730			3034.15	7.94328	1229.46	-6.83630	5.25052
1086.70	25.000	150000	5.27399	0.0398876	0.210367	23238.83629	4.889			3155.50	10.0000	1549.26	-4.50580	5.27399
1121.70	25.001	188839	5.24879	0.0415855	0.218273	29269.64378	6.389			3274.10	12.5893	1951.31	-1.46115	5.24879
1156.83	24.999	237734	5.26360	0.0432711	0.227762	36801.93329	8.382			3416.43	15.8489	2453.46	0.433534	5.26360
1191.89	24.999	299289	5.24860	0.0457916	0.240342	46374.85504	11.15			3605.13	19.9526	3091.66	1.06262	5.24860
1226.97	25.000	300000	5.25478	0.0457799	0.240563	56887.59521	13.69			3608.45	20.0000	3792.51	1.09696	5.25478

